id,name,x,y,z,label
0,sample_000,-0.3523,-0.6983,0.9764,idle
1,sample_001,0.6425,-0.8117,0.8742,place
2,sample_002,-0.5706,-0.8281,0.6273,reach
3,sample_003,-0.8186,-0.151,1.2403,idle
4,sample_004,0.8949,0.2613,0.8745,idle
5,sample_005,0.1542,-0.2066,1.4644,idle
6,sample_006,0.1133,-0.7337,0.6287,place
7,sample_007,-0.7644,-0.383,1.2242,reach
8,sample_008,-0.7939,0.1424,0.2818,idle
9,sample_009,0.0955,-0.8744,0.0894,reach
10,sample_010,-0.0072,0.0634,1.1658,lift
11,sample_011,0.1711,-0.0936,0.4497,reach
12,sample_012,0.398,-0.5118,0.8616,place
13,sample_013,-0.0098,-0.313,0.6733,place
14,sample_014,0.9603,-0.7639,0.6272,grasp
15,sample_015,-0.696,-0.0221,0.0588,idle
16,sample_016,0.5291,0.1461,1.3132,grasp
17,sample_017,-0.3198,-0.2996,0.745,lift
18,sample_018,-0.8625,-0.8128,0.4049,idle
19,sample_019,-0.8787,0.403,0.9707,lift
20,sample_020,-0.4308,-0.2284,1.003,idle
21,sample_021,0.8813,-0.2891,0.9164,lift
22,sample_022,-0.8821,0.5365,0.194,reach
23,sample_023,-0.2042,0.8336,0.7448,reach
24,sample_024,-0.1016,0.0989,1.3251,lift
25,sample_025,0.728,-0.4432,0.6229,grasp
26,sample_026,0.3654,-0.2391,0.3461,idle
27,sample_027,-0.6476,-0.5361,0.35,lift
28,sample_028,0.6622,-0.6353,0.4229,reach
29,sample_029,-0.1621,-0.2615,0.8495,reach
30,sample_030,0.381,0.031,0.9264,idle
31,sample_031,-0.0867,0.742,1.4278,place
32,sample_032,-0.2152,-0.202,0.1553,lift
33,sample_033,-0.8755,-0.8653,0.3131,reach
34,sample_034,-0.7801,0.2015,0.1536,place
35,sample_035,-0.6975,-0.7971,0.5454,idle
36,sample_036,-0.8594,-0.5841,0.5643,grasp
37,sample_037,0.9109,0.2046,0.7112,idle
38,sample_038,0.6979,0.9862,0.699,lift
39,sample_039,-0.3763,-0.7118,1.1245,grasp
40,sample_040,-0.0428,0.3841,0.7745,reach
41,sample_041,0.902,0.0565,0.2199,place
42,sample_042,0.8283,0.5163,0.4471,idle
43,sample_043,0.3924,-0.4778,0.55,reach
44,sample_044,-0.2886,-0.5544,0.8124,place
45,sample_045,-0.3407,-0.5539,1.2173,reach
46,sample_046,0.6122,0.6367,1.1098,reach
47,sample_047,-0.6002,-0.0144,1.0965,idle
48,sample_048,0.5802,-0.0555,0.2905,place
49,sample_049,0.913,-0.1055,1.4055,grasp
